NEMO,PRICE,PE,BV,CURRENT RATIO,UNINT. DIV.,HIST. DIV. YIELD (%),CURRENT YEAR DIV. YIELD (%),OP. MARGIN (%),ROIC (%),ROE (%)
AESGENER,133.02,9.42,0.57,1.23,18,8.01,2.69,2341,1.83,4.449
AFPCAPITAL,275.0,15.98,2.02,0,14,5.85,3.04,5194,14.69,14.71
AGUAS-A,267.0,12.26,2.37,0.82,30,5.62,2.64,43,9.4,22.09
AGUAS-B,150.0,6.89,1.33,0.82,21,5.62,2.64,43,9.4,22.09
AGUNSA,181.57,9.87,1.08,0.97,4,6.51,5.33,5938,5.652,10.2
ALMENDRAL,38.68,11.07,0.64,1.46,1,0.52,3.50,682,2.578,8.312
ANASAC,1800.0,8.99,0.36,2.72,34,166.97,192.67,8215,2.709,3.785
ANDACOR,4000.0,0.0,1.28,0.70,0,187.50,0.00,-1101,-11.52,-17.77
ANDINA-A,1669.8,9.82,1.93,1.30,23,3.43,4.42,1208,10.68,19.38
ANDINA-B,1852.0,10.9,2.14,1.30,23,3.32,4.17,1208,10.68,19.38
ANTARCHILE,6500.0,989.59,0.56,2.23,25,3.30,1.14,3255,0.867,1.833
AQUACHILE,490.9,0.0,1.09,1.68,0,0.00,0.00,6608,8.276,9.78
ATSA,400.0,1.75,0.88,0,0,0.00,0.00,0,0,0
AXXION,2.2,0.0,58.97,0,1,0.00,5.91,5545,26.51,52.3
AZUL AZUL,594.0,0.0,2.44,0.96,0,0.00,0.00,-1911,-20.57,-28.96
BANVIDA,203.4,9.57,0.81,0,8,5.57,4.03,0,8.713,10.16
BCI,27000.0,11.62,0.96,0.41,28,3.06,3.32,1878,3.9,11.11
BESALCO,429.26,18.66,1.28,1.44,25,1.99,1.05,7583,3.306,7.527
BETLAN DOS,2.0,0.0,1.63,0,2,0.07,10.25,1526,21.06,24.11
BICECORP,13000.0,11.97,1.08,4.32,11,3.03,2.50,3129,4.124,11.23
BINT,66.9,10.3,1.22,1.17,3,2.38,3.26,2099,3.843,15.84
BLUMAR,193.2,20.51,0.85,2.05,6,4.79,1.25,6374,2.206,3.097
BOLSASTGO,2280.0,15.47,3.29,0,39,63923241.67,3.98,4284,21.07,21.07
BSANTANDER,31.9,12.44,1.66,0.52,22,4.60,2.47,2513,5.01,16.6
CALICHERAA,227.63,20.39,0.46,0,18,1.57,0.47,-1726,1.881,2.842
CALICHERAB,277.92,24.89,0.56,0,17,1.62,0.44,-1726,1.881,2.842
CAMANCHACA,58.47,13.77,0.8,2.64,1,0.50,3.64,1088,4.288,5.526
CAMPOS,29.0,0.0,0.21,0.20,0,0.92,0.00,0,-1.712,-1.72
CANALISTAS,0.0,0.0,0.0,2.31,0,31.40,0.00,-2831,-3.617,-3.617
CAP,6390.0,0.0,0.59,1.08,0,3.09,0.00,-0044,-4.066,-5.138
CAROZZI,1558.3,9.73,0.93,1.45,9,2.78,2.90,1002,5.593,9.845
CASABLANCA,1050.5,3.9,0.57,1.14,22,13.61,7.43,1248,14.5,14.5
CCU,5691.0,22.65,1.59,1.63,30,3.06,2.88,1236,8.401,9.979
CEM,100.0,19.96,1.25,1.90,0,1.50,0.00,1087,4.01,6.698
CEMENTOS,700.0,13.59,0.77,1.76,8,5.18,0.55,6715,3.787,5.598
CENCOSHOPP,1391.3,8.13,0.96,0,0,0.00,3.68,0,0,0
CENCOSUD,1268.9,0.0,0.83,1.27,16,2.27,3.11,7362,1.445,2.627
CFMDIVO,1264.0,0.0,0.0,0,1,0.83,3.32,0,0,0
CFMEASCCHI,362410.0,0.0,0.0,0,3,427.04,508.03,0,0,0
CFMITNIPSA,2715.0,0.0,0.0,0,7,2.90,3.14,0,0,0
CGE,428.39,11.07,0.49,0.97,4,3.17,2.34,6605,1.259,1.958
CGEGAS,169.19,5.96,0.52,1.29,3,4.42,8.39,2292,5.256,8.06
CHILE,70.37,12.95,1.98,0.43,6,4.13,4.67,2733,5.638,17.36
CIC,23.04,9.56,0.95,1.11,0,6.48,0.00,5929,8.007,8.893
CINTAC,340.0,81.39,0.97,1.41,18,2.85,0.98,5275,1.31,1.552
CLUBUNION,360500.0,0.0,12.11,0.44,0,0.00,0.00,0,-33.42,-33.42
CMPC,1684.1,0.0,0.67,2.27,37,1.07,0.32,1093,0.702,1.004
COLBUN,135.9,16.58,0.85,3.37,6,5.08,6.40,2532,3.827,5.497
COLCRAIG-A,0.0,0.0,0.0,0.59,0,0.00,0.00,2583,0,-6.12
COLCRAIG-B,0.0,0.0,0.0,0.59,0,0.00,0.00,2583,0,-6.12
COLINSE,0.0,0.0,0.0,0.42,0,0.00,0.00,-2122,0,-1.847
COLO COLO,177.98,0.0,1.05,1.35,0,0.00,0.00,-1098,-7.701,-7.723
COLOSO,38.0,0.0,1.31,59.38,0,18.50,0.00,-7104,20.17,20.17
CONCHATORO,1370.0,16.32,1.72,1.90,0,2.14,2.21,1172,6.591,9.068
CONSOGRAL,464.87,0.0,1.18,0.79,0,2.38,0.00,-2398,14.95,14.95
COPEC,6017.0,0.0,0.91,2.26,33,1.86,0.59,4258,0.927,1.566
COPEVAL,750.0,0.0,0.75,1.41,0,2.74,0.00,3854,-0.543,-1.458
COUNTRY-A,110000.0,0.0,0.5,2.21,0,0.00,0.00,1452,-0.539,-0.62
COUNTRY-B,50000.0,0.0,0.23,2.21,0,0.00,0.00,1452,-0.539,-0.62
COUNTRY-P,50000.0,0.0,0.23,0,0,0.00,0.00,0,0,0
COVADONGA,350.0,13.11,1.08,0,29,7.53,3.12,9089,6.054,6.054
CRAIGHOUSE,300.0,0.0,0.07,0,0,0.00,0.00,0,0,0
CRISTALES,4530.0,15.32,0.99,2.71,37,4.18,2.75,1228,4.785,7.082
CRUZADOS,133.9,5.6,0.61,3.02,0,0.00,0.00,1698,14.68,16.93
CTC,380.0,22.63,0.54,1.02,19,3.88,2.63,5281,2.649,4.364
CUPRUM,29.0,9.52,0.53,0,0,10.31,0.00,5224,9.712,9.744
CVA,1000.0,0.0,9.6,0,4,0.87,14.80,9471,25.07,37.24
DEHESA,0.0,0.0,0.0,0.08,0,0.00,0.00,-5224,-37.83,0
DUNCANFOX,1000.0,0.0,0.64,2.48,19,8.89,5.11,1318,8.257,11.92
