NEMO,PRICE,PE,BV,CURRENT RATIO,UNINT. DIV.,HIST. DIV. YIELD (%),CURRENT YEAR DIV. YIELD (%),OP. MARGIN (%),ROIC (%),ROE (%)
AESGENER,121.42,8.5,0.52,0,18,8.01,8.68,0,0,0
AFPCAPITAL,275.0,12.22,1.74,0,14,5.85,3.04,0,0,0
AGUAS-A,206.89,10.25,1.78,0,30,5.62,2.75,0,0,0
AGUAS-B,150.0,7.43,1.29,0,21,14.26,4.84,0,0,0
AGUNSA,181.57,11.7,1.08,0,4,6.51,5.33,0,0,0
ALMENDRAL,37.01,9.17,0.61,0,1,0.52,3.53,0,0,0
ANASAC,1800.0,4.72,0.34,0,34,4.40,4.13,0,0,0
ANDACOR,4000.0,999.0,1.39,0,0,2.23,0.00,0,0,0
ANDINA-A,1400.0,8.24,1.66,0,23,3.43,4.55,0,0,0
ANDINA-B,1622.0,9.54,1.92,0,23,3.32,4.30,0,0,0
ANTARCHILE,6691.2,999.0,0.58,0,25,3.30,1.15,0,0,0
AQUACHILE,490.9,999.0,1.17,0,0,0.00,0.00,0,0,0
ATSA,400.0,1.75,0.87,0,0,0.00,0.00,0,0,0
AXXION,2.2,999.0,999.0,0,1,0.00,5.91,0,0,0
AZUL AZUL,590.0,999.0,2.48,0,0,0.00,0.00,0,0,0
BANVIDA,200.0,6.58,0.76,0,8,5.57,4.05,0,0,0
BCI,25600.0,11.53,0.95,0,28,3.22,3.60,0,0,0
BESALCO,374.65,16.26,1.11,0,25,1.99,1.03,0,0,0
BETLAN DOS,2.0,999.0,2.06,0,2,0.07,10.25,0,0,0
BICECORP,13000.0,11.97,1.07,0,11,3.03,2.50,0,0,0
BINT,65.01,10.97,1.19,0,3,2.38,3.29,0,0,0
BLUMAR,172.5,999.0,0.83,0,6,4.79,1.32,0,0,0
BOLSASTGO,2250.0,14.37,3.04,0,39,63923241.67,4.78,0,0,0
BSANTANDER,29.61,11.52,1.53,0,22,4.60,2.59,0,0,0
CALCHA-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
CALCHB-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
CALICHERAA,227.63,18.77,4.05,0,18,1.57,0.48,0,0,0
CALICHERAB,277.92,22.91,4.05,0,17,1.62,0.44,0,0,0
CAMANCHACA,56.31,28.83,0.78,0,1,0.50,3.64,0,0,0
CAMPOS,29.0,999.0,0.22,0,0,0.92,0.00,0,0,0
CANALISTAS,0.0,999.0,999.0,0,0,31.40,0.00,0,0,0
CAP,6525.7,999.0,0.61,0,1,3.09,1.87,0,0,0
CAROZZI,1558.3,9.33,0.89,0,9,2.78,2.93,0,0,0
CASABLANCA,1050.5,4.35,0.54,0,22,13.61,7.43,0,0,0
CCU,4642.0,18.53,1.29,0,30,3.06,3.02,0,0,0
CEM,100.0,19.38,1.22,0,0,1.50,0.00,0,0,0
CEMENTOS,742.0,14.24,0.8,0,8,5.18,1.40,0,0,0
CENCOSHOPP,1130.0,8.55,0.77,0,0,0.00,3.86,0,0,0
CENCOSUD,1140.0,999.0,0.77,0,16,2.27,2.99,0,0,0
CFMDIVO,1151.0,999.0,999.0,0,1,1.12,4.63,0,0,0
CFMEASCCHI,362410.0,999.0,999.0,0,3,503.43,768.54,0,0,0
CFMITNIPSA,2517.7,999.0,999.0,0,7,2.90,3.42,0,0,0
CGE,418.48,10.82,0.47,0,4,3.17,2.35,0,0,0
CGEGAS,164.43,5.8,0.5,0,3,4.42,8.33,0,0,0
CHILE,63.1,11.8,1.79,0,6,4.13,4.85,0,0,0
CIC,23.04,12.08,0.93,0,0,6.48,0.00,0,0,0
CINTAC,335.0,83.23,0.95,0,18,2.85,0.96,0,0,0
CLUBUNION,360500.0,999.0,12.07,0,0,0.00,0.00,0,0,0
CMPC,1652.1,999.0,0.65,0,37,1.07,0.32,0,0,0
COLBUN,124.0,14.79,0.76,0,6,5.08,6.29,0,0,0
COLCRAIG-A,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
COLCRAIG-B,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
COLINSE,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
COLO COLO,177.98,999.0,1.0,0,0,0.00,0.00,0,0,0
COLOSO,38.0,999.0,1.34,0,0,18.50,0.00,0,0,0
CONCHATORO,1233.9,14.93,1.57,0,0,2.14,2.24,0,0,0
CONSOGRAL,464.87,999.0,0.91,0,0,2.38,0.00,0,0,0
COPEC,6223.0,999.0,0.96,0,33,1.86,0.59,0,0,0
COPEVAL,750.0,999.0,0.73,0,0,2.74,0.00,0,0,0
COUNTRY-A,110000.0,999.0,0.49,0,0,0.00,0.00,0,0,0
COUNTRY-B,50000.0,999.0,0.22,0,0,0.00,0.00,0,0,0
COUNTRY-P,50000.0,999.0,0.22,0,0,0.00,0.00,0,0,0
COVADONGA,350.0,17.74,0.96,0,29,7.53,3.12,0,0,0
CRAIGHOUSE,300.0,999.0,0.07,0,0,0.00,0.00,0,0,0
CRISTALES,3923.8,13.27,0.85,0,37,4.18,3.58,0,0,0
CRUZADOS,133.9,13.98,0.58,0,0,0.00,0.00,0,0,0
CTC,380.0,22.63,0.53,0,19,3.88,2.63,0,0,0
CUPRUM,34.12,8.73,0.59,0,0,10.31,0.00,0,0,0
CVA,1000.0,999.0,999.0,0,4,0.87,14.80,0,0,0
DEHESA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
DUNCANFOX,1000.0,7.67,0.62,0,19,8.89,5.21,0,0,0
ECL,899.34,11.47,0.53,0,0,3.27,0.00,0,0,0
EDELMAG,6100.0,10.76,1.49,0,31,6.25,3.68,0,0,0
EDELPA,112.29,999.0,0.42,0,0,1.52,0.00,0,0,0
EISA,217.64,16.43,1.08,0,6,1.30,2.90,0,0,0
ELECMETAL,11100.0,21.0,1.13,0,34,4.04,2.36,0,0,0
ELUXSA,908.05,999.0,2.0,0,0,3.50,0.00,0,0,0
EMBONOR-A,1000.0,13.17,1.27,0,15,4.76,4.69,0,0,0
EMBONOR-B,960.02,12.64,1.21,0,15,4.35,4.76,0,0,0
EMILIANA,32.0,14.09,0.64,0,33,2.17,2.79,0,0,0
ENAEX,7200.0,13.46,1.72,0,28,3.83,3.34,0,0,0
ENELAM,105.79,7.39,1.23,0,16,3.98,6.69,0,0,0
ENELCHILE,53.75,999.0,1.29,0,4,3.30,6.63,0,0,0
ENELDXCH,1369.0,15.22,1.77,0,14,5.00,2.26,0,0,0
ENELGXCH,250.47,999.0,1.53,0,17,4.67,9.47,0,0,0
ENJOY,5.217,999.0,0.42,0,0,0.83,0.00,0,0,0
ENLASA,690.0,16.94,0.48,0,8,6.36,9.43,0,0,0
ENTEL,4825.5,10.43,0.86,0,1,0.34,3.13,0,0,0
EPERVA,150.0,999.0,0.25,0,0,2.77,0.00,0,0,0
ESPANOLA,2400.0,19.68,0.52,0,35,7.93,5.62,0,0,0
ESPANOLVAL,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
ESSAL-A,0.0,999.0,999.0,0,0,0.52,0.00,0,0,0
ESSAL-B,110.0,999.0,11.19,0,0,0.52,0.00,0,0,0
ESSBIO-A,15.0,999.0,1.06,0,0,8.84,0.00,0,0,0
ESSBIO-B,0.0,999.0,999.0,0,0,6.39,0.00,0,0,0
ESSBIO-C,12.0,999.0,0.85,0,0,8.27,0.00,0,0,0
ESTACIONAM,6500000.0,26.16,24.14,0,11,6.17,0.74,0,0,0
ESVAL-A,0.001,999.0,999.0,0,6,12.61,0.00,0,0,0
ESVAL-B,0.0,999.0,999.0,0,6,12.61,0.00,0,0,0
ESVAL-C,0.017,999.0,999.0,0,6,4.61,0.00,0,0,0
FALABELLA,2325.9,394.27,1.12,0,24,1.47,1.43,0,0,0
FEPASA,5.8,15.36,0.38,0,3,3.20,2.62,0,0,0
FERIAOSOR,173.82,4.5,0.79,0,17,4.32,4.03,0,0,0
FORUS,985.0,263.33,1.09,0,14,2.18,1.43,0,0,0
FOSFOROS,1040.0,32.88,1.0,0,37,12.92,3.41,0,0,0
FROWARD,462.97,7.35,0.82,0,14,7.47,11.37,0,0,0
GASCO,1700.0,14.51,1.06,0,42,5.98,3.73,0,0,0
GENERADORA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
GOLF,16000000.0,999.0,131.27,0,0,0.00,0.00,0,0,0
GRANADILLA,27000.0,999.0,1.72,0,0,0.00,0.00,0,0,0
HABITAT,488.15,4.72,0.99,0,37,6.79,5.45,0,0,0
HF,817.35,30.02,0.97,0,8,1.19,0.65,0,0,0
HIPERMARC,3.6,999.0,0.06,0,0,0.00,0.00,0,0,0
HIPICO,15500000.0,999.0,0.61,0,0,1.29,0.00,0,0,0
HIPODROMOA,430000.0,999.0,1.68,0,0,0.78,0.00,0,0,0
HIPODROMOB,3000000.0,999.0,11.71,0,0,0.07,0.00,0,0,0
HITES,105.0,999.0,0.34,0,10,4.04,3.73,0,0,0
HORNOS,1.3,999.0,999.0,0,0,0.00,0.00,0,0,0
IACSA,81.89,999.0,0.77,0,0,10.15,0.00,0,0,0
IAM,545.0,9.01,0.86,0,14,6.22,3.31,0,0,0
IANSA,8.8,999.0,0.12,0,0,1.00,0.00,0,0,0
ILC,4139.1,8.91,0.51,0,8,6.33,4.00,0,0,0
INDISA,1500.7,45.38,2.56,0,14,3.35,1.96,0,0,0
INFODEMA,2.0,999.0,0.27,0,0,1.20,0.00,0,0,0
INGEVEC,83.24,14.17,1.63,0,5,2.93,4.78,0,0,0
INMOBVINA,100000.0,999.0,0.22,0,0,0.00,0.00,0,0,0
INTASA,6.0,999.0,4.87,0,0,0.00,0.00,0,0,0
INTEROCEAN,65.82,13.81,0.46,0,4,3.68,1.29,0,0,0
INVERCAP,2200.0,12.86,0.61,0,18,2.04,0.82,0,0,0
INVERFOODS,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
INVERNOVA,8.0,999.0,0.92,0,0,7.55,0.00,0,0,0
INVEXANS,15.02,999.0,0.85,0,0,0.00,0.00,0,0,0
INVIESPA,1458.0,18.02,1.23,0,30,7.97,4.47,0,0,0
IPAL,1210.5,999.0,0.39,0,31,14.35,4.96,0,0,0
ISANPA,4.0,21.56,0.36,0,0,6.18,0.00,0,0,0
ITAUCORP,2.026,999.0,0.41,0,18,4.68,9.36,0,0,0
LAS CONDES,23988.0,999.0,0.81,0,2,0.85,0.64,0,0,0
LINDEFUT,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
LIPIGAS,4100.0,13.56,2.93,0,5,4.35,4.07,0,0,0
LITORAL,12296.0,22.45,1.87,0,30,3.61,1.52,0,0,0
LTM,1155.9,999.0,999.0,0,0,0.35,0.00,0,0,0
MAISONNETT,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
MALLPLAZA,1076.5,44.28,1.18,0,1,0.30,1.21,0,0,0
MANQUEHUE,101.2,999.0,0.45,0,2,0.33,1.30,0,0,0
MARBELLACC,801000.0,999.0,0.7,0,0,0.00,0.00,0,0,0
MARGARET'S,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
MARINSA,48.99,999.0,1.62,0,0,0.00,0.00,0,0,0
MASISA,10.12,999.0,0.16,0,0,10.78,0.00,0,0,0
MELON,0.4,999.0,0.55,0,0,4.63,0.00,0,0,0
MINERA,13999.0,38.3,0.55,0,41,3.46,17.31,0,0,0
MOLLER,409.99,15.15,1.08,0,6,4.17,2.74,0,0,0
MOLYMET,5600.0,22.81,1.23,0,5,1.98,3.47,0,0,0
MUELLES,0.0,999.0,999.0,0,18,47.80,142.18,0,0,0
MULTIFOODS,231.23,999.0,1.54,0,4,2.89,2.32,0,0,0
NAVARINO,802.0,999.0,1.35,0,0,0.00,0.00,0,0,0
NAVIERA,20.4,4.31,0.45,0,14,7.30,5.82,0,0,0
NIBSA,6700.0,18.35,0.59,0,2,2.89,0.79,0,0,0
NITRATOS,0.72,999.0,0.62,0,0,2.33,0.00,0,0,0
NORTEGRAN,1.885,999.0,0.31,0,0,1.79,0.00,0,0,0
NORTE-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
NUEVAPOLAR,7.3,999.0,0.33,0,0,0.00,0.00,0,0,0
NUEVAREG,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
OLDBOYS,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
ORO BLANCO,1.954,28.68,0.34,0,18,1.85,0.54,0,0,0
OROBCO-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
OXIQUIM,5000.0,8.1,1.57,0,5,11.46,10.39,0,0,0
PARAUCO,1052.9,16.72,0.91,0,14,2.14,1.76,0,0,0
PASUR,8000.0,999.0,0.56,0,14,2.21,1.45,0,0,0
PAZ,511.76,10.17,0.75,0,10,5.36,4.56,0,0,0
PEHUENCHE,1603.6,12.16,6.96,0,19,5.92,8.21,0,0,0
PLANVITAL,59.0,5.33,1.52,0,4,2.18,6.22,0,0,0
POLO,3300000.0,31.27,59.81,0,0,0.00,0.00,0,0,0
POLPAICO,8040.0,999.0,1.72,0,1,1.29,4.02,0,0,0
POTAA-OSA,0.0,999.0,999.0,0,0,0.00,0.00,0,0,0
POTASIOS-A,88.08,58.48,6.95,0,8,2.04,0.14,0,0,0
POTASIOS-B,93.31,61.96,7.27,0,8,1.59,0.14,0,0,0
PREVISION,560.0,39.87,1.41,0,12,7.85,5.44,0,0,0
PROVIDA,2376.0,7.97,0.64,0,4,7.77,14.11,0,0,0
PUCOBRE,3251.3,16.02,2.35,0,29,2.32,3.57,0,0,0
PUERTO,1457.5,999.0,1.55,0,0,1.91,0.00,0,0,0
PUNTILLA,2000.0,999.0,1.69,0,0,0.78,0.00,0,0,0
QUEMCHI,780.0,999.0,1.05,0,0,0.00,0.00,0,0,0
QUILICURA,1167.0,17.54,0.99,0,12,10.25,7.09,0,0,0
QUINENCO,1051.9,8.34,0.47,0,14,2.60,3.09,0,0,0
